protein_A_id	protein_B_id	type	context	references
uniprotkb:O60664	uniprotkb:P68871	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:Q9C000	ChEBI:30616	physical association	reactome:R-HSA-1296412	17349957
ChEBI:46661	uniprotkb:P05067	physical association	reactome:R-NUL-1296409	17703304|17349957
uniprotkb:Q8IX30	uniprotkb:Q8IWY4	physical association	reactome:R-HSA-8943989	24243840
uniprotkb:Q8IWL2	uniprotkb:Q8IWL1	physical association	reactome:R-HSA-391092	24243840
uniprotkb:P08572	uniprotkb:P02462	physical association	reactome:R-HSA-2682389	24243840
uniprotkb:P08572	uniprotkb:P02462	physical association	reactome:R-HSA-2682390	24243840
uniprotkb:P53420	uniprotkb:P29400	physical association	reactome:R-HSA-2682403	24243840
uniprotkb:P68032	uniprotkb:P68133	physical association	reactome:R-HSA-390576	24243840
ChEBI:16991	uniprotkb:O14862	physical association	reactome:R-HSA-1296424	24243840
uniprotkb:P63261	ChEBI:456216	physical association	reactome:R-HSA-202998	24243840
ChEBI:30616	uniprotkb:P63261	physical association	reactome:R-HSA-202986	21779028|11231140
uniprotkb:P52799	uniprotkb:P98172	physical association	reactome:R-HSA-9028348	24243840
uniprotkb:P12319	uniprotkb:P30273	physical association	reactome:R-HSA-2685662	24243840
uniprotkb:Q9Y572	uniprotkb:Q13546	physical association	reactome:R-HSA-5218908	22817896|29681455
uniprotkb:P55854	uniprotkb:P61956	physical association	reactome:R-HSA-3899294	17938407|11451954
uniprotkb:P15056	uniprotkb:P31946	physical association	reactome:R-HSA-5672710	24243840
uniprotkb:Q04726	uniprotkb:Q9NQB0	physical association	reactome:R-HSA-8944351	19460168|15121853|15768032|11266540|9751710|9819412|10485845|8955148|10831834
uniprotkb:Q13547	uniprotkb:Q9UJU2	physical association	reactome:R-HSA-8944365	10559189|20405012|11266540|10485845
ChEBI:29035	uniprotkb:P46976	physical association	reactome:R-HSA-453360	24243840
uniprotkb:O15488	ChEBI:29035	physical association	reactome:R-HSA-453365	24243840
uniprotkb:P84022	uniprotkb:Q09472	physical association	reactome:R-HSA-9733208	24243840
uniprotkb:A5D6W6	ChEBI:17855	physical association	reactome:R-HSA-8857661	22106267|24519944|18160536
ChEBI:18420	uniprotkb:P04899	physical association	reactome:R-HSA-170656	7937899
uniprotkb:P63096	uniprotkb:P38405	physical association	reactome:R-HSA-170659	7937899
ChEBI:37565	uniprotkb:A8MTJ3	physical association	reactome:R-HSA-170683	9865521|1658606|17230639
reactome:R-HSA-9634908	uniprotkb:O00327	physical association	reactome:R-HSA-9634904	24243840
uniprotkb:P49005	uniprotkb:P35244	physical association	reactome:R-HSA-6790530	26131740|22127868|26131740|22127868
reactome:R-ALL-109961	uniprotkb:P35244	physical association	reactome:R-HSA-5690478	21282463|19279666
reactome:R-HSA-110340	uniprotkb:P28340	physical association	reactome:R-HSA-5690470	20227374|9875289|21282463|19279666
uniprotkb:P23471	uniprotkb:P21246	physical association	reactome:R-HSA-9700012	16814777|10212223|16814777|10212223|16814777|10212223|16814777|10212223|16814777|10212223|16814777|10212223|16814777|16814777|29455642|29455642|10212223|10212223|27445335|27445335|23777859|23777859|26896299|26896299
uniprotkb:P23471	uniprotkb:P21741	physical association	reactome:R-HSA-9700009	16814777|10212223|16814777|10212223|16814777|16814777|27445335|27445335
uniprotkb:Q8NB16	uniprotkb:Q13546	physical association	reactome:R-HSA-5218909	22265413|22265413|22265413|22421439
uniprotkb:Q13546	ChEBI:30616	physical association	reactome:R-HSA-9687633	29930286
uniprotkb:Q9Y572	uniprotkb:Q8NB16	physical association	reactome:R-HSA-9793487	22265413|34999730
uniprotkb:Q8NB16	uniprotkb:Q9Y572	physical association	reactome:R-HSA-5218902	22265413|22265413|24703947|22265413
reactome:R-HSA-9710319	uniprotkb:P04637	physical association	reactome:R-HSA-9710314	16897187|16897187
reactome:R-HSA-6800819	uniprotkb:P04637	physical association	reactome:R-HSA-6800835	15797384|10733530|15797384|10733530|15797384|15797384|10733530|10733530
uniprotkb:Q96KQ4	uniprotkb:Q9H3D4	physical association	reactome:R-HSA-6799788	11684014|18676979|14729977|18275817
reactome:R-HSA-3700977	uniprotkb:Q13625	physical association	reactome:R-HSA-3700978	7834749|7834749|7834749|11684014|14729977|7834749
reactome:R-HSA-4331320	uniprotkb:Q13625	physical association	reactome:R-HSA-4331345	11572983|11463392|11572983|11463392|11572983|11463392|11572983|11463392|11572983|11463392|23365256|23365256|18676979|18676979|14729977|14729977|11572983|11572983|11463392|11463392
reactome:R-HSA-6799817	uniprotkb:O15350	physical association	reactome:R-HSA-6799810	23365256|19615968|23365256|19615968|23365256|23365256|19615968|19615968
reactome:R-HSA-6799446	uniprotkb:P04637	physical association	reactome:R-HSA-6799461	11919562|11919562|11919562|11684014|14729977|11919562
reactome:R-HSA-6798089	uniprotkb:Q9H3D4	physical association	reactome:R-HSA-6798078	16135520|11278253|23703390|16135520|11278253|23703390|16135520|11278253|23703390|16135520|16135520|16135520|11278253|11278253|11278253|23703390|23703390|23703390
uniprotkb:Q8WUF5	uniprotkb:Q9H3D4	physical association	reactome:R-HSA-6799745	12524540|18275817|12524540|18275817|12524540|18275817|12524540|18275817|12524540|12524540|24714389|24714389|22538442|22538442|18275817|18275817
ChEBI:59092	reactome:R-HSA-915147	physical association	reactome:R-HSA-915150	17510649|12655775|10878245
ChEBI:59092	reactome:R-HSA-381130	physical association	reactome:R-HSA-909547	24243840
ChEBI:59092	reactome:R-HSA-912296	physical association	reactome:R-HSA-912283	17510649
uniprotkb:P11473	ChEBI:17823	physical association	reactome:R-HSA-8963916	21849106|15728261|23857223|28206978|22877430|27913313|15647825
uniprotkb:Q9BXN2	ChEBI:37671	physical association	reactome:R-HSA-5607677	15845454|16341139|21525931|10779524|20193029
uniprotkb:Q9BXN2	uniprotkb:P43405	physical association	reactome:R-HSA-5607685	24243840
uniprotkb:P08709	ChEBI:29108	physical association	reactome:R-HSA-8959612	24243840
uniprotkb:P04049	uniprotkb:P63104	physical association	reactome:R-HSA-443827	7935795
uniprotkb:Q16595	ChEBI:29033	physical association	reactome:R-HSA-1362402	12785837|11823441|18425540
uniprotkb:Q9H1K1	uniprotkb:Q9Y697	physical association	reactome:R-HSA-1362401	12785837|21298097|11823441|20873749|11060020|17331979|12785837|21298097|11823441|20873749|11060020|17331979|12785837|21298097|11823441|20873749|11060020|17331979|12785837|21298097|11823441|20873749|11060020|17331979|12785837|21298097|11823441|20873749|11060020|17331979|12785837|21298097|11823441|20873749|11060020|17331979|12785837|21298097|11823441|20873749|11060020|17331979|12785837|21298097|11823441|20873749|11060020|17331979|12785837|12785837|12785837|12785837|12785837|12785837|21776984|21776984|21776984|21776984|21776984|21776984|21298097|21298097|21298097|21298097|21298097|21298097|11823441|11823441|11823441|11823441|11823441|11823441|20873749|20873749|20873749|20873749|20873749|20873749|20522547|20522547|20522547|20522547|20522547|20522547|18425540|18425540|18425540|18425540|18425540|18425540|15509595|15509595|15509595|15509595|15509595|15509595
uniprotkb:O75914	uniprotkb:P15498	physical association	reactome:R-HSA-5357447	11804587|9705280
ChEBI:76591	uniprotkb:Q92731	physical association	reactome:R-HSA-9038025	17873880|26610607|24288332
uniprotkb:Q99928	uniprotkb:P14867	physical association	reactome:R-HSA-9612614	24243840
uniprotkb:P18507	uniprotkb:P14867	physical association	reactome:R-HSA-9612617	24243840
uniprotkb:Q99928	uniprotkb:P47870	physical association	reactome:R-HSA-5357502	24243840
uniprotkb:Q99928	uniprotkb:P47870	physical association	reactome:R-HSA-5340312	24243840
uniprotkb:P30047	uniprotkb:P30793	physical association	reactome:R-HSA-1474149	16778797|8502995|16696853
reactome:R-HSA-5635024	uniprotkb:P08151	physical association	reactome:R-HSA-5635078	17442700|18832070|20460306
uniprotkb:P10070	reactome:R-HSA-5617393	physical association	reactome:R-HSA-5635082	14723851|10075717|17442700|18832070|23719536|12361967|20460306
reactome:R-HSA-5612503	uniprotkb:P08151	physical association	reactome:R-HSA-5635085	21801010|17442700|18832070|15087129|20460306
uniprotkb:P10071	uniprotkb:O43791	physical association	reactome:R-HSA-5635087	20014402|21878643|16651542|20154143|23955340|24072710|19852954|9874371|15198976|19818708|19955409|20487519|19684112|16740475|20360384|20956384|15115751|14528312
uniprotkb:P09871	uniprotkb:P00736	physical association	reactome:R-HSA-173614	24243840
uniprotkb:P09871	uniprotkb:P00736	physical association	reactome:R-HSA-173613	24243840
uniprotkb:P00736	uniprotkb:P09871	physical association	reactome:R-HSA-8959918	24243840
uniprotkb:O95786	reactome:R-ROT-9013911	physical association	reactome:R-HSA-168906	15208624|18591409
uniprotkb:O00451	uniprotkb:Q99748	physical association	reactome:R-HSA-8853818	15044950|11491658
uniprotkb:O00451	uniprotkb:Q99748	physical association	reactome:R-HSA-8854160	8637703
uniprotkb:Q9UQC2	uniprotkb:Q9GZZ7	physical association	reactome:R-HSA-8855090	10995764
uniprotkb:O60542	uniprotkb:Q9UQC2	physical association	reactome:R-HSA-8855302	10995764
uniprotkb:Q9GZZ7	uniprotkb:Q06124	physical association	reactome:R-HSA-8855762	10995764
uniprotkb:Q5T4W7	uniprotkb:P42338	physical association	reactome:R-HSA-8855523	11002419|10995764|10448070
uniprotkb:O00451	uniprotkb:Q8WU20	physical association	reactome:R-HSA-8855579	11360177|11390647
uniprotkb:P39905	uniprotkb:P62993	physical association	reactome:R-HSA-8854983	24243840
uniprotkb:O00451	uniprotkb:P62993	physical association	reactome:R-HSA-8854903	10995764|9764818
uniprotkb:Q13322	uniprotkb:P39905	physical association	reactome:R-HSA-8854768	7665556|8631863
uniprotkb:P19174	uniprotkb:O60542	physical association	reactome:R-HSA-8854776	8628282
uniprotkb:P29353	uniprotkb:O60542	physical association	reactome:R-HSA-8854400	8663426|9299438|9047384
uniprotkb:O00451	uniprotkb:P12931	physical association	reactome:R-HSA-8855748	14766744
uniprotkb:P29353	uniprotkb:O00451	physical association	reactome:R-HSA-8854980	10995764
uniprotkb:O60542	uniprotkb:P62993	physical association	reactome:R-HSA-8854978	24243840
uniprotkb:P07949	uniprotkb:Q07889	physical association	reactome:R-HSA-8854399	10995764|9299438
uniprotkb:O60542	uniprotkb:P39905	physical association	reactome:R-HSA-8855760	11886862
uniprotkb:P22830	reactome:R-ALL-189408	physical association	reactome:R-HSA-189402	24243840
uniprotkb:P42229	reactome:R-HSA-8865619	physical association	reactome:R-HSA-8865622	26301565
uniprotkb:Q02763	uniprotkb:Q15389	physical association	reactome:R-HSA-210862	14749497
ChEBI:44074	uniprotkb:Q06278	physical association	reactome:R-HSA-3204316	24243840
uniprotkb:P00736	uniprotkb:P09871	physical association	reactome:R-HSA-173585	24243840
ChEBI:29034	uniprotkb:P02788	physical association	reactome:R-HSA-8951553	22232695
uniprotkb:P02788	ChEBI:62579	physical association	reactome:R-HSA-8951548	22232695
ChEBI:29036	uniprotkb:P00441	physical association	reactome:R-HSA-3299681	24243840
ChEBI:29036	uniprotkb:P00441	physical association	reactome:R-HSA-3299679	5082141|7264869|5082141|7264869|5082141|7264869|5082141|7264869|5082141|7264869|5082141|7264869|5082141|7264869|5082141|7264869|9295278|9295278|9726962|9726962|15064408|15064408|22869735|22869735|16880213|16880213|18703498|18703498|19542232|19542232|11018045|11018045
uniprotkb:Q9NSB8	uniprotkb:Q13255	physical association	reactome:R-HSA-6794288	9808458|9069287
uniprotkb:Q8N4T8	uniprotkb:Q92506	physical association	reactome:R-HSA-8862181	24243840
uniprotkb:P08238	uniprotkb:Q15185	physical association	reactome:R-HSA-8937201	10409767
uniprotkb:O95264	uniprotkb:P46098	physical association	reactome:R-HSA-6792755	24243840
uniprotkb:Q8WXA8	uniprotkb:P46098	physical association	reactome:R-HSA-6792758	24243840
uniprotkb:P46098	uniprotkb:Q70Z44	physical association	reactome:R-HSA-6792753	24243840
uniprotkb:P46098	uniprotkb:A5X5Y0	physical association	reactome:R-HSA-6792754	24243840
uniprotkb:P01877	uniprotkb:P01591	physical association	reactome:R-HSA-8858031	11877257
uniprotkb:P01909	uniprotkb:P01903	physical association	reactome:R-HSA-8980062	9312039|1956401|16618111
uniprotkb:P01909	uniprotkb:P04233	physical association	reactome:R-HSA-8951502	9312039|1956401|16618111
uniprotkb:Q8IVH4	uniprotkb:P22033	physical association	reactome:R-HSA-5654974	24243840
uniprotkb:Q8IVH4	uniprotkb:P22033	physical association	reactome:R-HSA-3159295	24243840
ChEBI:18408	uniprotkb:P22033	physical association	reactome:R-HSA-3159272	12438653|16281286|15523652|2567699
uniprotkb:Q8IVH4	ChEBI:18408	physical association	reactome:R-HSA-9013317	24243840
uniprotkb:O96007	uniprotkb:O96033	physical association	reactome:R-HSA-947582	24243840
uniprotkb:O96007	uniprotkb:O96033	physical association	reactome:R-HSA-947569	12732628|12571226
ChEBI:18408	uniprotkb:P22033	physical association	reactome:R-HSA-70999	13934212
ChEBI:29105	uniprotkb:O00764	physical association	reactome:R-HSA-965005	24243840
uniprotkb:Q9NVS9	ChEBI:58210	physical association	reactome:R-HSA-964943	24243840
ChEBI:57692	uniprotkb:P50336	physical association	reactome:R-HSA-189469	24243840
uniprotkb:Q92896	uniprotkb:P16150	physical association	reactome:R-HSA-2870225	7509040|21659548
ChEBI:29105	uniprotkb:O14618	physical association	reactome:R-HSA-8951722	9295278|9726962|15064408|22869735|16880213|18703498|11018045
uniprotkb:Q9H3S4	ChEBI:18420	physical association	reactome:R-HSA-196971	24243840
uniprotkb:P16471	uniprotkb:P01242	physical association	reactome:R-HSA-2002375	24243840
uniprotkb:Q14765	uniprotkb:P29597	physical association	reactome:R-HSA-8952795	9890938
reactome:R-HCV-9013887	uniprotkb:Q14258	physical association	reactome:R-HSA-918190	17392790|19017631|24755855|20403326|19484123
uniprotkb:P49959	reactome:R-ALL-75156	physical association	reactome:R-HSA-5684116	24243840
uniprotkb:Q92993	uniprotkb:Q92878	physical association	reactome:R-HSA-5684122	24243840
reactome:R-ALL-75156	uniprotkb:Q99728	physical association	reactome:R-HSA-5684128	16153896|18971343|18805091|18923075|11301010|19419957|21325134|22021381|21052091|22792074|25122754|21240188
reactome:R-ALL-5685984	uniprotkb:O60934	physical association	reactome:R-HSA-5685986	24243840
uniprotkb:P49959	uniprotkb:Q13315	physical association	reactome:R-HSA-5685987	24243840
uniprotkb:Q13315	uniprotkb:P38398	physical association	reactome:R-HSA-5685983	11376695|11139606|9705271|17965729|19357644|12152085
uniprotkb:O60934	uniprotkb:P51530	physical association	reactome:R-HSA-5685989	16153896|18971343|18805091|14576433|11301010|22024395|21325134|21052091|22792074|25122754|21240188
uniprotkb:Q9NPL8	uniprotkb:Q5TEU4	physical association	reactome:R-HSA-6799189	20552642|24191001
uniprotkb:Q96B77	uniprotkb:O95139	physical association	reactome:R-HSA-6799177	24243840
uniprotkb:Q9H446	uniprotkb:P55039	physical association	reactome:R-HSA-9629575	19819225|15676025|29915238
uniprotkb:Q8WU90	uniprotkb:Q9Y295	physical association	reactome:R-HSA-9629570	19819225|15676025|29915238
uniprotkb:P59632	uniprotkb:Q13546	physical association	reactome:R-HSA-9686334	30185776
uniprotkb:Q9Y572	uniprotkb:P59632	physical association	reactome:R-HSA-9692649	30185776
uniprotkb:Q96P20	uniprotkb:P59632	physical association	reactome:R-HSA-9685242	31034780
uniprotkb:Q9Y275	uniprotkb:Q96RJ3	physical association	reactome:R-HSA-5676540	10359578|12721620|24432023|15368291|11853672
uniprotkb:Q96RJ3	uniprotkb:Q13114	physical association	reactome:R-HSA-5676561	15644327|15585864
uniprotkb:O43508	uniprotkb:Q9NP84	physical association	reactome:R-HSA-5675977	12787562|11728344|20385556|23667509|10085077|19241374
uniprotkb:Q9NP84	uniprotkb:Q13114	physical association	reactome:R-HSA-5676555	12529173
uniprotkb:Q9NQX3	ChEBI:18420	physical association	reactome:R-HSA-947576	24243840
uniprotkb:P36941	uniprotkb:O43557	physical association	reactome:R-HSA-5676545	24248355
uniprotkb:Q13489	uniprotkb:P01374	physical association	reactome:R-HSA-5676558	12571250|8663299|9122217
uniprotkb:P43489	uniprotkb:P23510	physical association	reactome:R-HSA-5692317	15356117|20510730|15470070|16501042|7913952|20307208
ChEBI:58210	uniprotkb:Q96CD2	physical association	reactome:R-HSA-196828	24243840
uniprotkb:Q9Y6Q6	uniprotkb:O14788	physical association	reactome:R-HSA-5676546	20483727|9367155
uniprotkb:O14788	uniprotkb:Q99558	physical association	reactome:R-HSA-5676557	9852070|15824857
uniprotkb:P41279	uniprotkb:Q8NFZ5	physical association	reactome:R-HSA-5684242	9535861|14673179
reactome:R-ALL-72393	reactome:R-HSA-72323	physical association	reactome:R-HSA-72508	592399|641056|10659855|1856230|11018020|429297
uniprotkb:P47813	uniprotkb:P41091	physical association	reactome:R-HSA-72571	592399|641056|429297
uniprotkb:P11498	ChEBI:29035	physical association	reactome:R-HSA-3323188	20153287|9630604|22123817|16134170|18297087
uniprotkb:P11498	ChEBI:29035	physical association	reactome:R-HSA-2993805	24243840
uniprotkb:P11498	ChEBI:29035	physical association	reactome:R-HSA-2993798	24243840
reactome:R-HSA-5601896	uniprotkb:Q96J94	physical association	reactome:R-HSA-5601902	24243840
uniprotkb:Q9Y2W6	reactome:R-HSA-5601896	physical association	reactome:R-HSA-5603059	24243840
uniprotkb:O60522	uniprotkb:Q96J94	physical association	reactome:R-HSA-5603053	24243840
uniprotkb:Q96J94	reactome:R-HSA-5629246	physical association	reactome:R-HSA-5629229	24243840
uniprotkb:Q9Y2W6	uniprotkb:Q96J94	physical association	reactome:R-HSA-5629240	24243840
reactome:R-HSA-5601899	uniprotkb:Q96J94	physical association	reactome:R-HSA-5601893	24243840
uniprotkb:O60522	uniprotkb:Q9Y2W6	physical association	reactome:R-HSA-5603054	21465557
ChEBI:18420	uniprotkb:Q96T66	physical association	reactome:R-HSA-200487	24243840
uniprotkb:P02647	uniprotkb:O95477	physical association	reactome:R-HSA-5682094	15280376
uniprotkb:Q9UMX1	uniprotkb:P10071	physical association	reactome:R-HSA-5610526	16705181|16371461|16705181|16371461|16705181|16705181|16371461|16371461
reactome:R-HSA-6814536	ChEBI:17825	physical association	reactome:R-HSA-6814542	24243840
uniprotkb:P03886	uniprotkb:Q96B77	physical association	reactome:R-HSA-6801265	24243840
ChEBI:37565	uniprotkb:Q96E11	physical association	reactome:R-HSA-5419282	19716793
reactome:R-HSA-5368270	reactome:R-ALL-5368267	physical association	reactome:R-HSA-5368273	24243840
reactome:R-HSA-5368270	reactome:R-ALL-5368267	physical association	reactome:R-HSA-5389838	24243840
ChEBI:37565	reactome:R-HSA-5368270	physical association	reactome:R-HSA-5389851	22172991
reactome:R-ALL-5389836	reactome:R-ALL-5368267	physical association	reactome:R-HSA-5419272	15358359|19716793
uniprotkb:Q96E11	reactome:R-ALL-5368267	physical association	reactome:R-HSA-5419275	18782833
reactome:R-HSA-5368270	reactome:R-ALL-5368267	physical association	reactome:R-HSA-5389843	24243840
uniprotkb:Q9HCC0	uniprotkb:Q96RQ3	physical association	reactome:R-HSA-3323135	20153287|9630604|22123817|16134170
uniprotkb:Q9HCC0	uniprotkb:Q96RQ3	physical association	reactome:R-HSA-70770	24243840
uniprotkb:P05165	uniprotkb:P05166	physical association	reactome:R-HSA-3323122	6765947|6765947|6765947|6765947|20153287|9630604|22123817|16134170
uniprotkb:P05165	uniprotkb:P05166	physical association	reactome:R-HSA-71026	6765947
uniprotkb:P05166	uniprotkb:P05165	physical association	reactome:R-HSA-2993809	6765947
uniprotkb:P01308	ChEBI:29108	physical association	reactome:R-HSA-9023156	11462236|3896518
ChEBI:29105	uniprotkb:P01308	physical association	reactome:R-HSA-9023182	3283564|1429623|14617756|3896518|9207799
uniprotkb:P17302	uniprotkb:Q07157	physical association	reactome:R-HSA-191641	24243840
ChEBI:29105	uniprotkb:P01308	physical association	reactome:R-HSA-386977	24243840
ChEBI:29105	uniprotkb:P01308	physical association	reactome:R-HSA-9023192	24243840
ChEBI:29105	uniprotkb:P01308	physical association	reactome:R-HSA-264931	16714477|7626024|3283564|1429623|7626024|9166668|8916141|1528899|3896518
uniprotkb:Q9HCC0	uniprotkb:Q96RQ3	physical association	reactome:R-HSA-3323185	24243840
reactome:R-HSA-5601925	uniprotkb:Q8TC59	physical association	reactome:R-HSA-5601912	24243840
uniprotkb:Q8TC59	reactome:R-HSA-5629246	physical association	reactome:R-HSA-5629234	24243840
reactome:R-HSA-5601899	uniprotkb:Q8TC59	physical association	reactome:R-HSA-5601907	24243840
uniprotkb:Q9HAN9	ChEBI:29105	physical association	reactome:R-HSA-200489	24243840
ChEBI:29105	uniprotkb:P01308	physical association	reactome:R-HSA-264908	9631292|14704853|2669954|16158220|10521251
ChEBI:29105	uniprotkb:P01308	physical association	reactome:R-HSA-265073	9631292|3896518
reactome:R-HSA-445243	uniprotkb:P0DTD1	physical association	reactome:R-HSA-9729808	23414305|33080218
reactome:R-HSA-445250	uniprotkb:P0DTD1	physical association	reactome:R-HSA-9729785	23414305|33080218
uniprotkb:Q07817	uniprotkb:P59635	physical association	reactome:R-HSA-9704680	17428862|17428862
reactome:R-ALL-141678	reactome:R-HSA-72323	physical association	reactome:R-HSA-141952	24243840
reactome:R-ALL-72393	reactome:R-HSA-72323	physical association	reactome:R-HSA-72505	1095581|10659855
uniprotkb:Q96T21	reactome:R-ALL-72393	physical association	reactome:R-HSA-5359053	15821744
uniprotkb:Q96T21	ChEBI:37565	physical association	reactome:R-HSA-5359044	15821744
reactome:R-ALL-72393	uniprotkb:O60841	physical association	reactome:R-HSA-72504	1095581|10659855|592398
ChEBI:37565	reactome:R-HSA-72323	physical association	reactome:R-HSA-156903	24243840
uniprotkb:P03897	uniprotkb:P03905	physical association	reactome:R-HSA-6799194	24243840
uniprotkb:Q9P032	uniprotkb:P03905	physical association	reactome:R-HSA-6799187	20552642|24191001
uniprotkb:Q96F46	uniprotkb:P0DTC8	physical association	reactome:R-HSA-9755355	33723527|33723527|33060197|33723527
uniprotkb:P61769	uniprotkb:P0DTC8	physical association	reactome:R-HSA-9755340	34021074|34021074
uniprotkb:Q8NEB9	uniprotkb:P0DTC8	physical association	reactome:R-HSA-9755322	34021074|34021074
uniprotkb:Q80H93	uniprotkb:Q9GZQ8	physical association	reactome:R-HSA-9687111	31231549
uniprotkb:Q80H93	uniprotkb:Q96P20	physical association	reactome:R-HSA-9685272	31231549
ChEBI:29105	uniprotkb:P13716	physical association	reactome:R-HSA-189400	24243840
ChEBI:27889	uniprotkb:P13716	physical association	reactome:R-HSA-190145	11032836
uniprotkb:O43920	uniprotkb:P03915	physical association	reactome:R-HSA-6799183	21924235
uniprotkb:P0DTD2	uniprotkb:O15111	physical association	reactome:R-HSA-9754828	33567255
uniprotkb:Q15366	uniprotkb:P59636	physical association	reactome:R-HSA-9685173	25135833
uniprotkb:P59636	uniprotkb:Q7Z434	physical association	reactome:R-HSA-9685193	25135833|25135833
uniprotkb:P55265	reactome:R-ALL-75088	physical association	reactome:R-HSA-75089	28132026
reactome:R-ALL-75088	uniprotkb:P78563	physical association	reactome:R-HSA-77611	28132026
uniprotkb:Q13685	uniprotkb:Q9HC29	physical association	reactome:R-HSA-9676152	19535145|19535145
reactome:R-HSA-9618483	uniprotkb:Q9H9G7	physical association	reactome:R-HSA-9657867	23519696
reactome:R-HSA-9618483	uniprotkb:Q9HCE1	physical association	reactome:R-HSA-9618481	22673513
reactome:R-HSA-9618483	reactome:R-HSA-9624909	physical association	reactome:R-HSA-9624931	29772548|20566875|20466882|20466885|20855588
uniprotkb:Q9BZK7	uniprotkb:Q13133	physical association	reactome:R-HSA-9024349	19481530
ChEBI:67237	reactome:R-HSA-5649950	physical association	reactome:R-HSA-9024330	19481530|19481530|22541735|19481530
ChEBI:34310	uniprotkb:O15379	physical association	reactome:R-HSA-9024368	19481530|19481530|19481530|10858438
uniprotkb:P02647	uniprotkb:Q8IZY2	physical association	reactome:R-HSA-382558	24243840
reactome:R-ALL-9650989	ChEBI:456216	physical association	reactome:R-HSA-9650859	10773014|23992284|11264248|11577798|29108130|11716850|9739505|12196472|12764427|15678092|31067468
uniprotkb:Q09428	ChEBI:18420	physical association	reactome:R-HSA-6790054	20086079
uniprotkb:P33897	uniprotkb:Q9UBJ2	physical association	reactome:R-HSA-1456464	24243840
uniprotkb:Q9UBJ2	uniprotkb:P33897	physical association	reactome:R-HSA-1456457	24243840
uniprotkb:P28288	uniprotkb:P33897	physical association	reactome:R-HSA-1456463	24243840
uniprotkb:P28288	uniprotkb:P33897	physical association	reactome:R-HSA-1456460	24243840
uniprotkb:P28288	uniprotkb:Q9UBJ2	physical association	reactome:R-HSA-1456467	24243840
uniprotkb:P28288	uniprotkb:Q9UBJ2	physical association	reactome:R-HSA-1456454	24243840
uniprotkb:O14678	uniprotkb:Q9NUN5	physical association	reactome:R-HSA-9730746	24243840
uniprotkb:Q9NUN5	uniprotkb:O14678	physical association	reactome:R-HSA-9730744	24243840
uniprotkb:Q9NUN5	uniprotkb:O14678	physical association	reactome:R-HSA-9730750	24243840
uniprotkb:P61221	uniprotkb:Q05823	physical association	reactome:R-HSA-8985205	11265282|7539425|9847332
uniprotkb:P61221	uniprotkb:Q05823	physical association	reactome:R-HSA-5223322	9660177|11585831|9847332
uniprotkb:P05198	uniprotkb:Q8NE71	physical association	reactome:R-HSA-5226905	19570978|17894550
uniprotkb:Q9H222	uniprotkb:Q9H221	physical association	reactome:R-HSA-265452	24243840
